Country,Date,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalTests,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,Active Cases/1M pop
Azerbaijan,2023-03-06,828721,0,10129.0,0.0,818386.0,0,206.0,0,7532345.0,10300205,Asia,12,"1,017",1.0,20.0
Bahrain,2023-03-02,708061,233,1550.0,1.0,706013.0,0,498.0,5,10741126.0,1783983,Asia,3,"1,151",0.0,279.0
Bahrain,2023-03-03,708532,471,1552.0,2.0,706013.0,0,967.0,6,10742269.0,1783983,Asia,3,"1,149",0.0,542.0
Bahrain,2023-03-04,708768,236,1552.0,0.0,706014.0,0,1202.0,4,10743440.0,1783983,Asia,3,"1,149",0.0,674.0
Bahrain,2023-03-05,709230,462,1552.0,0.0,706014.0,0,1664.0,5,10744948.0,1783983,Asia,3,"1,149",0.0,933.0
Bahrain,2023-03-06,709230,0,1552.0,0.0,706014.0,0,1664.0,5,10744948.0,1783983,Asia,3,"1,149",0.0,933.0
Bangladesh,2023-03-02,2037829,0,29445.0,0.0,1998479.0,0,9905.0,0,15254399.0,167885689,Asia,82,"5,702",11.0,59.0
Bangladesh,2023-03-03,2037829,0,29445.0,0.0,1998479.0,0,9905.0,0,15254399.0,167885689,Asia,82,"5,702",11.0,59.0
Bangladesh,2023-03-04,2037829,0,29445.0,0.0,1998479.0,0,9905.0,0,15254399.0,167885689,Asia,82,"5,702",11.0,59.0
Bangladesh,2023-03-05,2037829,0,29445.0,0.0,1998479.0,0,9905.0,0,15254399.0,167885689,Asia,82,"5,702",11.0,59.0
Bangladesh,2023-03-06,2037829,0,29445.0,0.0,1998479.0,0,9905.0,0,15254399.0,167885689,Asia,82,"5,702",11.0,59.0
Belarus,2023-03-02,994037,0,7118.0,0.0,985589.0,0,1330.0,0,13646641.0,9432800,Europe,9,"1,325",1.0,141.0
Belarus,2023-03-03,994037,0,7118.0,0.0,985589.0,0,1330.0,0,13646641.0,9432800,Europe,9,"1,325",1.0,141.0
Belarus,2023-03-04,994037,0,7118.0,0.0,985589.0,0,1330.0,0,13646641.0,9432800,Europe,9,"1,325",1.0,141.0
Belarus,2023-03-05,994037,0,7118.0,0.0,985589.0,0,1330.0,0,13646641.0,9432800,Europe,9,"1,325",1.0,141.0
Belarus,2023-03-06,994037,0,7118.0,0.0,985589.0,0,1330.0,0,13646641.0,9432800,Europe,9,"1,325",1.0,141.0
Belgium,2023-03-02,4727795,1449,33775.0,8.0,4660019.0,558,34001.0,43,36752058.0,11668278,Europe,2,345,0.0,2914.0
Belgium,2023-03-03,4727795,0,33775.0,0.0,4661127.0,1115,32893.0,43,36752058.0,11668278,Europe,2,345,0.0,2819.0
Belgium,2023-03-04,4727795,0,33775.0,0.0,4661069.0,0,32951.0,43,36752058.0,11668278,Europe,2,345,0.0,2824.0
Belgium,2023-03-05,4727795,0,33775.0,0.0,4661629.0,558,32391.0,43,36752058.0,11668278,Europe,2,345,0.0,2776.0
Belgium,2023-03-06,4727795,0,33775.0,0.0,4662422.0,792,31598.0,43,36752058.0,11668278,Europe,2,345,0.0,2708.0
Benin,2023-03-02,27990,0,163.0,0.0,27824.0,0,3.0,0,604310.0,12784726,Africa,457,"78,434",21.0,0.2
Benin,2023-03-03,27990,0,163.0,0.0,27824.0,0,3.0,0,604310.0,12784726,Africa,457,"78,434",21.0,0.2
Benin,2023-03-04,27990,0,163.0,0.0,27824.0,0,3.0,0,604310.0,12784726,Africa,457,"78,434",21.0,0.2
Benin,2023-03-05,27990,0,163.0,0.0,27824.0,0,3.0,0,604310.0,12784726,Africa,457,"78,434",21.0,0.2
Benin,2023-03-06,27990,0,163.0,0.0,27824.0,0,3.0,0,604310.0,12784726,Africa,457,"78,434",21.0,0.2
Bolivia,2023-03-02,1193418,162,22365.0,0.0,1158257.0,185,12796.0,220,2705422.0,11992656,South America,10,536,4.0,1067.0
Bolivia,2023-03-03,1193650,232,22365.0,0.0,1158537.0,283,12748.0,220,2705422.0,11992656,South America,10,536,4.0,1063.0
Bolivia,2023-03-04,1193815,165,22365.0,0.0,1158822.0,281,12628.0,220,2705422.0,11992656,South America,10,536,4.0,1053.0
Bolivia,2023-03-05,1193908,93,22365.0,0.0,1159035.0,215,12508.0,220,2705422.0,11992656,South America,10,536,4.0,1043.0
Bolivia,2023-03-06,1193908,0,22365.0,0.0,1159035.0,0,12508.0,220,2705422.0,11992656,South America,10,536,4.0,1043.0
Bosnia and Herzegovina,2023-03-02,401636,0,16279.0,0.0,379083.0,0,6274.0,0,1884721.0,3249317,Europe,8,200,2.0,1931.0
Bosnia and Herzegovina,2023-03-03,401636,0,16279.0,0.0,379083.0,0,6274.0,0,1884721.0,3249317,Europe,8,200,2.0,1931.0
Bosnia and Herzegovina,2023-03-04,401636,0,16279.0,0.0,379083.0,0,6274.0,0,1884721.0,3249317,Europe,8,200,2.0,1931.0
